title,lyrics
Boys,"I been told when a boy kiss a girl
Take a trip around the world
Hey, hey (bop shuop, m'bop bop shuop)
Hey, hey (bop shuop, m'bop bop shuop)
Hey, hey (bop shuop), yeah, she say ya do (bop shuop)

My girl says when I kiss her lips
Gets a thrill through her fingertips
Hey, hey (bop shuop, m'bop bop shuop)
Hey, hey (bop shuop, m'bop bop shuop)
Hey, hey (bop shuop), yeah, she say ya do (bop shuop)

Well, I talk about boys (yeah, yeah, boys)
Don't ya know I mean boys (yeah, yeah, boys)
Well, I talk about boys, now (yeah, yeah, boys)
Aah, boys (yeah, yeah, boys)
Well, I talk about boys, now (yeah, yeah, boys)
What a bundle of joy! (yeah, yeah, boys)
(Alright, George!)

My girl says when I kiss her lips
Gets a thrill through her fingertips
Hey, hey (bop shuop, m'bop bop shuop)
Hey, hey (bop shuop, m'bop bop shuop)
Hey, hey (bop shuop), yeah, she say ya do (bop shuop)

Well, I talk about boys (yeah, yeah, boys)
Don't ya know I mean boys (yeah, yeah, boys)
Well, I talk about boys, now (yeah, yeah, boys)
Aah (yeah, yeah, boys)
Well, I talk about boys, now (yeah, yeah, boys)
What a bundle of joy! (yeah, yeah, boys)

Oh, oh, ah yeah boys (yeah, yeah, boys)
Don't ya know I mean boys? (yeah, yeah, boys)
Ooh, boys (yeah, yeah, boys)
Ah ha (yeah, yeah, boys)
Well, I talk about boys now"
She Loves You,"She 
loves
 you, yeah, yeah, yeah
She 
loves
 you, yeah, yeah, yeah
She 
loves
 you, yeah, yeah, yeah

You 
think
 you've lost your love
Well, I saw her yesterday-yi-yay
It's you she's 
thinking
 of
And she told me what to say-yi-yay

She says she 
loves
 you
and you know that can't be bad
Yes, she 
loves
 you
and you know you 
should
 be glad

She said you hurt her so
She 
almost
 lost her mind
And now she says she knows
You're not the 
hurting
 kind

She says she 
loves
 you
and you know that can't be bad
Yes, she 
loves
 you
and you know you 
should
 be glad

Oo, she 
loves
 you, yeah, yeah, yeah
She 
loves
 you, yeah, yeah, yeah
With a love like that
You know you 
should
 be glad

You know it's up to you
I 
think
 it's only fair
Pride can hurt you too
Apologize to her

Because she 
loves
 you
and you know that can't be bad
Yes, she 
loves
 you
and you know you 
should
 be glad

Oo, she 
loves
 you, yeah, yeah, yeah
She 
loves
 you, yeah, yeah, yeah
With a love like that
You know you 
should
 be glad
With a love like that
you know you 
should
 be glad
With a love like that
you know you 
should
 be glad
Yeah, yeah, yeah,
Yeah, yeah, yeah, yeah"
Twist And Shout,"Well, 
shake
 it up baby now
Twist and shout
Come on, come on, come, come on baby now
Come on and work it on out
Well, work it on out, honey
You know you look so good
You know you got me goin' now
Just like I know you would

Well, 
shake
 it up baby now
Twist and shout
Come on, come on, come, come on baby now
Come on and work it on out
You know you twist, 
little
 girl
You know you 
twist
 so fine
Come on and 
twist
 a 
little
 closer now
And let me know that you're mine, woo

Ah, ah, ah, ah, wow
Baby now
Twist and shout
Come on, come on, come, come on baby now
Come on and work it on out
You know you twist, 
little
 girl
You know you 
twist
 so fine
Come on and 
twist
 a 
little
 closer now
And let me know that you're mine
Well, 
shake
 it, 
shake
 it, 
shake
 it, baby now
Well, 
shake
 it, 
shake
 it, 
shake
 it, baby now
Well, 
shake
 it, 
shake
 it, 
shake
 it, baby now
Ah, ah, ah, ah"
All My Loving,"Close your eyes and I'll kiss you
Tomorrow I'll miss you
Remember I'll 
always
 be true
And then 
while
 I'm away
I'll 
write
 home 
every
 day
And I'll send all my 
loving
 to you

I'll 
pretend
 that I'm kissing
The lips I am missing
And hope that my 
dreams
 will come true
And then 
while
 I'm away
I'll 
write
 home 
every
 day
And I'll send all my 
loving
 to you

All my loving, I will send to you
All my loving, 
darling
 I'll be true

Close your eyes and I'll kiss you
Tomorrow I'll miss you
Remember I'll 
always
 be true
And then 
while
 I'm away
I'll 
write
 home 
every
 day
And I'll send all my 
loving
 to you

All my loving, I will send to you
All my loving, 
darling
 I'll be true
All my loving, all my loving
Woo, all my loving, I will send to you"
I Saw Her Standing There,"Well she was just seventeen
You know what I mean
And the way she looked
Was way beyond compare
So how could I dance with another,
Oh, when I saw her standing there

Well she looked at me
And I, I could see
That before too long
I'd fall in love with her
She wouldn't dance with another
Oh, when I saw her standing there

Well my heart went boom
When I crossed that room
And I held her hand in mine

Oh we danced through the night
And we held each other tight
And before too long
I fell in love with her
Now I'll never dance with another
Oh, when I saw her standing there

Well my heart went boom
When I crossed that room
And I held her hand in mine

Oh we danced through the night
And we held each other tight
And before too long
I fell in love with her
Now I'll never dance with another
Oh, when I saw her standing there
Oh, since I saw her standing there
Yeah, well since I saw her standing there"
Can't Buy Me Love,"Can't buy me love, love
Can't buy me love

I'll buy you a diamond ring my friend
If it makes you feel all right
I'll get you anything my friend
If it makes you feel all right
Cause I don't care too much for money
For money can't buy me love

I'll give you all I've got to give
If you say you love me too
I may not have a lot to give
But what I've got I'll give to you
I don't care too much for money
For money can't buy me love

Can't buy me love
Everybody tells me so
Can't buy me love
No, no, no, no

Say you don't need no diamond ring
And I'll be satisfied
Tell me that you want those kind of things
That money just can't buy
I don't care too much for money
For money can't buy me love

Can't buy me love
Everybody tells me so
Can't buy me love
No, no, no, no

Say you don't need no diamond ring
And I'll be satisfied
Tell me that you want those kind of things
That money just can't buy
I don't care too much for money
Cause money can't buy me love
Oh, can't buy me love, love
Can't buy me love, no"
You Can't Do That,"I got something to say that might cause you pain,
If I catch you talking to that boy again,

I'm gonna let you down,
And leave you flat,
Because I told you before, oh,
You can't do that.

Well, it's the second time, I've caught you talking to him,
Do I have to tell you one more time, I think it's a sin,
I think I'll let you down.
Let you down and leave you flat,
Gonna let you down and leave you flat,
Because I've told you before, oh,
You can't do that.

Ev'rybody's green,
'cause I'm the one, who won your love,
But if it's seen,
You're talking that way they'd laugh in my face.
So please listen to me, if you want to stay mine,
I can't help my feelings, I'll go out of my mind.

I know I'll let you down,
And leave you flat,
Gonna let you down and leave you flat,
Because I've told you before, oh,
You can't do that."
Roll Over Beethoven,"I'm gonna write a little letter,
Gonna mail it to my local DJ
It's a rockin' rhythm record 
I want my jockey to play
Roll Over Beethoven, I gotta hear it again today

You know, my temperature's risin' 
And the jukebox blows a fuse
My heart's beatin' rhythm 
And my soul keeps on singin' the blues
Roll Over Beethoven and tell Tchaikovsky the news

I got the rockin' pneumonia, 
I need a shot of rhythm and blues
I think I'm rollin' arthritis 
Sittin' down by the rhythm review
Roll Over Beethoven rockin' in two by two

Well, if you feel you like it
Go get your lover, then reel and rock it
Roll it over and move on up just
A trifle further and reel and rock it,
Roll it over,
Roll Over Beethoven rockin' in two by two

Well, early in the mornin' I'm a-givin' you a warnin' 
Don't you step on my blue suede shoes
Hey diddle diddle, I am playin' my fiddle,
Ain't got nothin' to lose
Roll Over Beethoven and tell Tschaikowsky the news

You know she wiggles like a glow worm,
Dance like a spinnin' top
She got a crazy partner, 
Oughta see 'em reel and rock
Long as she got a dime the music will never stop

Roll Over Beethoven,
Roll Over Beethoven,
Roll Over Beethoven,
Roll Over Beethoven,
Roll Over Beethoven and dig these rhythm and blues"
Boys,"I been told when a boy kiss a girl, 
Take a trip around the world, 
Hey, hey, (bop shuop, m'bop bop shuop) 
Hey, hey, (bop shuop, m'bop bop shuop) 
Hey, hey, (bop shuop) yeah, she say ya do. (Bop shuop) 

My girl says when I kiss her lips, 
Gets a thrill through her fingertips, 
Hey, hey, (bop shuop, m'bop bop shuop) 
Hey, hey, (bop shuop, m'bop bop shuop) 
Hey, hey, (bop shuop) yeah, she say ya do. (Bop shuop) 

Well, I talk about boys, 
Don't ya know I mean boys, 
Well, I talk about boys, now, 
Aaahhh, boys, 
Well, I talk about boys, now, 
What a bundle of joy! (Alright, George!) 

My girl says when I kiss her lips, 
Gets a thrill through her fingertips, 
Hey, hey, (bop shuop, m'bop bop shuop) 
Hey, hey, (bop shuop, m'bop bop shuop) 
Hey, hey, (bop shuop) yeah, she say ya do. (Bop shuop) 

Well, I talk about boys, 
Don't ya know I mean boys, 
Well, I talk about boys, now, 
Aaahhh, boys, 
Well, I talk about boys, now, 
What a bundle of joy!"
Help!,"(Help) I need somebody
(Help) not just anybody
(Help) you know I need someone
(Help)

(When) when I was 
younger
 (when I was young) so much 
younger
 than today
(I 
never
 needed) I 
never
 needed anybody's help in any way
(Now) but now 
these
 days are gone (these days are gone) I'm not so self-assured (and now I find)
Now I find I've 
changed
 my mind, I've 
opened
 up the doors

Help me if you can, I'm 
feeling
 down
And I do 
appreciate
 you 
being
 'round
Help me get my feet back on the ground
Won't you please, 
please
 help me?

(Now) and now my life has 
changed
 (my life has changed) in oh-so-many ways (my independence)
My 
independence
 seems to 
vanish
 in the haze
(But) but 
every
 now and then (now and then) I feel so 
insecure
 (I know that I)
I know that I just need you like I 
never
 done before

Help me if you can, I'm 
feeling
 down
And I do 
appreciate
 you 
being
 'round
Help me get my feet back on the ground
Won't you please, 
please
 help me?

When I was younger, so much 
younger
 than today
I 
never
 needed anybody's help in any way
(Now) but now 
these
 days are gone (these days are gone) I'm not so self-assured (and now I find)
Now I find, I've 
changed
 my mind, I've 
opened
 up the doors

Help me if you can, I'm 
feeling
 down
And I do 
appreciate
 you 
being
 'round
Help me get my feet back on the ground
Won't you please, 
please
 help me, help me, help me, ooh?"
Everybody's Trying To Be My Baby,"Well they took some honey from a tree
Dressed it up and they called it me

Everybody's trying to be my baby
Everybody's trying to be my baby
Everybody's trying to be my baby, now

Well half past nine, half past four
Fifty women knocking on my door

Everybody's trying to be my baby
Everybody's trying to be my baby
Everybody's trying to be my baby, now

Went out last night, I didn't stay late
'Fore I got home I had nineteen dates

Everybody's trying to be my baby
Everybody's trying to be my baby
Everybody's trying to be my baby, now

Went out last night, I didn't stay late
'Fore I got home I had nineteen dates

Well they took some honey from a tree
Dressed it up and they called it me

Everybody's trying to be my baby
Everybody's trying to be my baby
Everybody's trying to be my baby, no"
Dizzy Miss Lizzie,"You make me dizzy, Miss Lizzie,
The way you rock'n'roll.
You make me dizzy, Miss Lizzie,
When we do the stroll.
Come on, Miss Lizzie,
Love me fore I grow too old.

Come on, give me fever,
Put your 
little
 hand in mine.
You make me dizzy, Miss Lizzie,
Girl, you look so fine.
You're just a-rockin' and a-rollin',
I sure do wish you were mine.

You make me dizzy, Miss Lizzie,
When you call my name.
O-o-o-o-oh baby,
Say you're 
driving
 me insane.
Come on, come on, come on, baby,
I want to be your 
lover
 man.

Run and tell your mama
I want you to be my bride.
Run and tell your brother,
Baby, don't run and hide.
You make me dizzy, Miss Lizzie,
And I want to 
marry
 you.

Come on, give me fever,
Put your 
little
 hand in mine.
You make me dizzy, Miss Lizzie,
Girl, you look so fine.
You're just a-rockin' and.a-rollin',
I sure do wish you were mine."
Nowhere Man,"He's a real nowhere man
Sitting in his nowhere land
Making all his nowhere plans for nobody

Doesn't have a point of view
Knows not where he's going to
Isn't he a bit like you and me?
Nowhere man please listen
You don't know what you're missing
Nowhere man, The world is at your command

He's as blind as he can be
Just sees what he wants to see
Nowhere man, can you see me at all
Nowhere man don't worry
Take your time, don't hurry
Leave it all till somebody else
Lends you a hand
Ah, la, la, la, la

Doesn't have a point of view
Knows not where he's going to
Isn't he a bit like you and me?
Nowhere man please listen
You don't know what you're missing
Nowhere man, The world is at your command
Ah, la, la, la, la

He's a real nowhere man
Sitting in his nowhere land
Making all his nowhere plans for nobody
Making all his nowhere plans for nobody
Making all his nowhere plans for nobody"
Hallelujah I Love Her So,"Let me tell you 'bout a girl I know
She is my baby and she 
lives
 next door
Every mornin' 'fore the sun 
comes
 up
She 
brings
 me 
coffee
 in my 
favorite
 cup
That's why I know, yes, I know
Hallelujah, I just love her so

When I'm in 
trouble
 and I have no friend
I know she'll go with me 
until
 the end
Everybody asks me how I know
I 
smile
 at them and say, ""She told me so""
That's why I know, oh, I know
Hallelujah, I just love her so

Now, if I call her on the telephone
And tell her that I'm all alone
By the time I 
count
 from one to four
I hear her - on my door

In the 
evening
 when the sun goes down
When 
there
 is 
nobody
 else around
She 
kisses
 me and she 
holds
 me tight
And 
tells
 me, ""Daddy, everything's all right""
That's why I know, yes, I know
Hallelujah, I just love her so

Now, if I call her on the telephone
And tell her that I'm all alone
By the time I 
count
 from one to four
I hear her - on my door

In the 
evening
 when the sun goes down
When 
there
 is 
nobody
 else around
She 
kisses
 me and she 
holds
 me tight
And 
tells
 me, ""Daddy, everything's all right""
That's why I know, yes, I know
Hallelujah, I just love her so
Oh, hallelujah
Don't you know, I just love her so?
She's my 
little
 woman, waitin' all this time
Babe, I'm a 
little
 fool for you, 
little
 girl"
